Name	Rating	Year	Fed	Rank
Ratmir..D Kholmov	2460	1993	RUS	519	
Anatoly Lein	2460	1993	USA	520	
Jonathan Levitt	2460	1993	ENG	521	
Paul.E Littlewood	2460	1993	ENG	522	
Christian Mann	2460	1993	GER	523	
Milan Matulovic	2460	1993	YUG	524	
Eduard Meduna	2460	1993	CZE	525	
Yakov Meister	2460	1993	RUS	526	
Igor Naumkin	2460	1993	RUS	527	
Juraj Nikolac	2460	1993	CRO	528	
Oleg Nikolenko	2460	1993	RUS	529	
Alexander..N Panchenko	2460	1993	RUS	530	
Kamran Shirazi	2460	1993	USA	531	
Guillermo Soppe	2460	1993	ARG	532	
Laszlo Szabo	2460	1993	GER	533	
Mark..D Tseitlin	2460	1993	ISR	534	
Wolfgang Unzicker	2460	1993	GER	535	
Viktor Varavin	2460	1993	RUS	536	
Karsten Volke	2460	1993	GER	537	
Jouni Yrjola	2460	1993	FIN	538	
Diego Adla	2455	1993	ARG	539	
Keith.C Arkell	2455	1993	ENG	540	
Lucas Brunner	2455	1993	SUI	541	
Mark..L Condie	2455	1993	SCO	542	
Klaus Darga	2455	1993	GER	543	
Jean-Marc Degraeve	2455	1993	FRA	544	
Oleg I. Dziuban	2455	1993	RUS	545	
Rafael Espinosa	2455	1993	MEX	546	
Antonio Fernandes	2455	1993	POR	547	
Miroslaw Grabarczyk	2455	1993	POL	548	
George Grigore	2455	1993	ROM	549	
Robert M. Jamieson	2455	1993	AUS	550	
Sergey Janovsky	2455	1993	RUS	551	
Raymond D. Keene	2455	1993	ENG	552	
Ludger Keitlinghaus	2455	1993	GER	553	
Dragan Kosic	2455	1993	YUG	554	
Konstantin Landa	2455	1993	RUS	555	
Robert Loncar	2455	1993	CRO	556	
Srdjan Marangunic	2455	1993	CRO	557	
Viktor Moiseev	2455	1993	RUS	558	
Alfonso Romero.Holmes	2455	1993	ESP	559	
Thomas Paehtz	2455	1993	GER	560	
Milos Pavlovic	2455	1993	YUG	561	
Jan Plachetka	2455	1993	SVK	562	
Shukhrat Safin	2455	1993	UZB	563	
Lars-Ake Schneider	2455	1993	SWE	564	
Gabriel Schwartzman	2455	1993	USA	565	
Aleksej Shestoperov	2455	1993	RUS	566	
Radoslav Simic	2455	1993	YUG	567	
Eric Tangborn	2455	1993	USA	568	
Tihomir Toshkov	2455	1993	BUL	569	
Tahir Vakhidov	2455	1993	UZB	570	
Tom Wedberg	2455	1993	SWE	571	
Vladimir Zemerov	2455	1993	RUS	572	
Raset Ziatdinov	2455	1993	UZB	573	
Alexander Zlochevskij	2455	1993	RUS	574	
Andrey Zontakh	2455	1993	UKR	575	
Bernard Zuckerman	2455	1993	USA	576	
Viacheslav Bashkov	2450	1993	RUS	577	
Peter Biyiasas	2450	1993	USA	578	
Victor A Bojarinov	2450	1993	RUS	579	
Egon Brestian	2450	1993	AUT	580	
Miroslav Desancic	2450	1993	SUI	581	
Marc Dutreeuw	2450	1993	BEL	582	
John.M Emms	2450	1993	ENG	583	
Vasilij Gagarin	2450	1993	RUS	584	
Mihail-Viorel Ghinda	2450	1993	ROM	585	
Lev Gutman	2450	1993	GER	586	
Jesper Hall	2450	1993	SWE	587	
Arnaud Hauchard	2450	1993	FRA	588	
Deen Hergott	2450	1993	CAN	589	
Roman Hernandez	2450	1993	CUB	590	
Alejandro Hoffman	2450	1993	ARG	591	
Gabor Kallai	2450	1993	HUN	592	
Albert Z Kapengut	2450	1993	BLR	593	
Jean-Rene Koch	2450	1993	FRA	594	
Alexander Lagunow	2450	1993	GER	595	
Miroljub Lazic	2450	1993	YUG	596	
Ronen Lev	2450	1993	ISR	597	
William J Lombardy	2450	1993	USA	598	
Tomasz Markowski	2450	1993	POL	599	
Edmar..J Mednis	2450	1993	USA	600	
A Monakov	2450	1993	RUS	601	
