Name	Rating	Year	Rank	Fed
B. Abramovic	2390	1978	YUG	502	
G. Agzamov	2390	1978	USR	503	
Amos	2390	1978	CAN	504	
I. Biriescu	2390	1978	ROM	505	
F. Borkowski	2390	1978	POL	506	
M. Chandler	2390	1978	NZL	507	
Sr. Cvetkovic	2390	1978	YUG	508	
N. De Firmian	2390	1978	USA	509	
J. Eising	2390	1978	FRG	510	
J. Emma	2390	1978	ARG	511	
K. Frey	2390	1978	MEX	512	
V. Frias	2390	1978	CHI	513	
M.L. Fuller	2390	1978	AUS	514	
K. Harandi	2390	1978	IRI	515	
Lipnowski	2390	1978	CAN	516	
And. Martin	2390	1978	ESP	517	
N. Minev	2390	1978	BUL	518	
Ervin Nagy	2390	1978	USA	519	
P. Passerotti	2390	1978	ITA	520	
J. Pogats	2390	1978	HUN	521	
Semeniuk	2390	1978	USR	522	
R. Simic	2390	1978	YUG	523	
J. Sloth	2390	1978	DEN	524	
N. Spiridonov	2390	1978	BUL	525	
Szymczak	2390	1978	POL	526	
J. Trapl	2390	1978	ITA	527	
A. Urzica	2390	1978	ROM	528	
A.H. Williams	2390	1978	WLS	529	
O. Yepez	2390	1978	ECU	530	
B.R. Anderson	2385	1978	DEN	531	
J. Armas	2385	1978	CUB	532	
J. Banas	2385	1978	CSR	533	
B. Brinck-Claussen	2385	1978	DEN	534	
Brond	2385	1978	ARG	535	
E. Chaplinsky	2385	1978	USR	536	
H. De la Vega	2385	1978	ARG	537	
Z. Djukic	2385	1978	YUG	538	
A. Fershter	2385	1978	USR	539	
C. Garcia Palermo	2385	1978	ARG	540	
P. Gesos	2385	1978	HUN	541	
S. Grunberg	2385	1978	ROM	542	
B. Hammar	2385	1978	SWE	543	
J. Kristinsson	2385	1978	ISL	544	
N. Lakic	2385	1978	YUG	545	
G. Lebredo	2385	1978	CUB	546	
A. Lilienthal	2385	1978	HUN	547	
J. Nogueiras	2385	1978	CUB	548	
Pahtz	2385	1978	DDR	549	
J. Pokojowczyk	2385	1978	POL	550	
A. Rocha	2385	1978	BRA	551	
T.I. Shaw	2385	1978	AUS	552	
F. Trois	2385	1978	BRA	553	
Uusi	2385	1978	USR	554	
